lat,lng,State,country,city_ascii
-29.1395,-59.65,,Argentina,Reconquista
-29.1329,19.3834,,South Africa,Pofadder
-29.12,26.2299,,South Africa,Bloemfontein
-29.03,-71.43,,Chile,Chanaral
-28.94,-49.5,,Brazil,Ararangua
-28.8815,121.328,,Australia,Leonora
-28.878,28.056,,Lesotho,Leribe
-28.8666,-66.2333,,Argentina,Chumbicha
-28.8614,153.568,,Australia,Ballina
-28.8167,153.2931,,Australia,Lismore
-28.7666,114.6,,Australia,Geraldton
-28.75,28.25,,Lesotho,Butha-Buthe
-28.7468,24.77,,South Africa,Kimberley
-28.6996,26.47,,South Africa,Brandfort
-28.68,-49.39,,Brazil,Criciuma
-28.6596,-56.01,,Brazil,Sao Borja
-28.6565,153.6129,,Australia,Byron Bay
-28.6496,-65.15,,Argentina,Frias
-28.627,122.404,,Australia,Laverton
-28.6083,16.5033,,South Africa,Alexander Bay
-28.57,-70.76,,Chile,Vallenar
-28.5548,150.3253,,Australia,Goondiwindi
-28.5495,16.43,,Namibia,Oranjemund
-28.5495,29.78,,South Africa,Ladysmith
-28.4996,-50.94,,Brazil,Vacaria
-28.48,-49.02,,Brazil,Tubarao
-28.48,-48.78,,Brazil,Laguna
-28.47,-65.78,,Argentina,San Fernando del Valle de Catamarca
-28.4696,-71.22,,Chile,Huasco
-28.4661,-62.8333,,Argentina,Anatuya
-28.46,21.23,,South Africa,Upington
-28.41,-54.96,,Brazil,Sao Luis Gonzaga
-28.3895,-53.9199,,Brazil,Ijui
-28.3296,31.41,,South Africa,Ulundi
-28.3,-54.28,,Brazil,Santo Angelo
-28.29,-52.8,,Brazil,Carazinho
-28.25,-52.42,,Brazil,Passo Fundo
-28.2296,-48.66,,Brazil,Imbituba
-28.2292,152.0203,,Australia,Warwick
-28.2196,28.3,,South Africa,Bethlehem
-28.1826,153.5466,,Australia,Tweed Heads
-28.12,-58.77,,Argentina,San Lorenzo
-28.0815,153.4482,,Australia,Gold Coast
-28.0666,-67.5666,,Argentina,Tinogasta
-28.0662,117.8167,,Australia,Mount Magnet
-28.0196,18.74,,Namibia,Karasburg
-28,143.8167,,Australia,Thargomindah
